,description,accession,organism,taxon_id,valid,ffn
878,"Chain F, Spike protein S2, Spike protein S2",6LXT_F,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
879,"Chain E, Spike protein S2, Spike protein S2",6LXT_E,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
880,"Chain D, Spike protein S2, Spike protein S2",6LXT_D,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
881,"Chain C, Spike protein S2, Spike protein S2",6LXT_C,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
882,"Chain B, Spike protein S2, Spike protein S2",6LXT_B,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
883,"Chain A, Spike protein S2, Spike protein S2",6LXT_A,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
884,"Chain D, Spike protein S2",6LVN_D,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
885,"Chain C, Spike protein S2",6LVN_C,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
886,"Chain B, Spike protein S2",6LVN_B,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
887,"Chain A, Spike protein S2",6LVN_A,Severe acute respiratory syndrome coronavirus 2,2697049,False,./genbank_files/2697049.fna
888,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJR96422,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
889,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJR96410,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
890,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJR96398,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
891,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJX59599,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
892,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57315,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
893,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57303,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
894,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57291,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
895,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57279,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
896,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57267,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
897,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57255,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
898,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57243,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
899,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57231,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
900,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57219,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
901,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57207,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
902,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57195,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
903,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57183,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
904,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57171,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
905,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57159,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
906,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57147,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
907,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57135,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
908,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57123,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
909,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57111,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
910,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57099,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
911,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57087,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
912,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57075,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
913,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57063,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
914,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57051,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
915,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57039,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
916,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57027,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
917,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57015,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
918,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS57003,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
919,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56991,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
920,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56979,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
921,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56967,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
922,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56955,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
923,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56943,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
924,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56931,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
925,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56919,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
926,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56907,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
927,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56895,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
928,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56883,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
929,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56871,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
930,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56859,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
931,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56847,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
932,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56835,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
933,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56823,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
934,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56811,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
935,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56799,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
936,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56787,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
937,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56775,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
938,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56763,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
939,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56751,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
940,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56739,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
941,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56727,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
942,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56715,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
943,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56703,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
944,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56691,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
945,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56679,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
946,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56667,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
947,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56655,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
948,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56643,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
949,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56631,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
950,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56619,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
951,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56607,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
952,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56595,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
953,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56583,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
954,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56571,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
955,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56559,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
956,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56547,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
957,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJS56535,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
958,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77314,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
959,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77302,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
960,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77290,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
961,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77278,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
962,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77266,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
963,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77254,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
964,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77242,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
965,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77230,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
966,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77218,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
967,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77206,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
968,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77194,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
969,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77182,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
970,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77170,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
971,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77158,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
972,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77146,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
973,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77134,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
974,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77122,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
975,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77110,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
976,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77098,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
977,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77086,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
978,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77074,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
979,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77062,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
980,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77050,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
981,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77038,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
982,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77026,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
983,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77014,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
984,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF77002,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
985,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76990,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
986,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76978,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
987,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76966,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
988,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76954,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
989,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76942,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
990,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76930,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
991,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76918,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
992,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76906,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
993,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76894,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
994,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76882,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
995,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76870,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
996,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76858,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
997,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76846,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
998,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76834,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
999,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76822,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1000,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76810,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1001,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76798,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1002,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76786,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1003,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76774,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1004,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76762,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1005,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76750,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1006,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76738,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1007,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76726,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1008,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76714,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1009,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76702,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1010,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76690,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1011,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76678,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1012,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76666,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1013,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76654,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1014,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76642,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1015,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76630,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1016,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76618,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1017,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76606,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1018,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76594,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1019,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76582,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1020,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76570,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1021,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76558,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1022,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76546,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1023,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76534,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1024,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76522,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1025,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76510,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1026,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76498,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1027,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76486,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1028,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76474,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1029,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76462,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1030,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76450,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1031,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76438,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1032,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76426,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1033,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76414,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1034,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76402,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1035,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76391,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1036,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76379,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1037,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76367,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1038,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76355,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1039,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76343,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1040,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76331,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1041,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76319,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1042,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76307,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1043,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76295,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1044,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76283,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1045,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76271,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1046,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76259,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1047,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76247,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1048,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76235,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1049,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76223,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1050,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76211,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1051,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76199,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1052,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76187,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1053,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76175,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
1054,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2],QJF76163,Severe acute respiratory syndrome coronavirus 2,2697049,True,./genbank_files/2697049.fna
